#{"t_start": 1753948336.807643, "env_id": "None"}
r,l,t
-13.2,20,0.79609
-10.3,20,0.796685
-5.7,20,0.797254
-10.1,2,0.797338
-15.5,9,0.797607
-1.2,19,0.798164
-15.8,13,0.798546
-4.8,20,0.799115
-9.5,20,0.799691
-8.6,20,0.800267
-14.2,20,0.801448
0.9,16,0.801966
-11.4,20,0.802578
-7.3,7,0.802815
4.5,19,0.80374
-6.6,20,0.807379
-11.4,20,0.807956
-12.4,20,0.808534
6.4,7,0.808738
-14.1,20,0.809304
-9.3,20,0.810311
-15.8,20,0.8109
-1.3,9,0.81119
-14.1,18,0.811704
-10.4,20,0.812281
-0.1,18,0.812789
-11.3,20,0.813344
-1.2,20,0.813934
-7.5,20,0.814503
-13.7,14,0.815231
-13.2,6,0.815801
-9.2,6,0.816008
-10.5,6,0.816219
-14.1,20,0.81679
-8.6,20,0.81739
-10.0,1,0.817433
7.0,1,0.817474
-12.2,20,0.818041
-5.7,20,0.818633
-14.2,20,0.819213
-16.2,7,0.819753
-10.1,2,0.819828
-11.3,20,0.820524
-14.1,20,0.821166
-12.3,20,0.821773
-8.5,20,0.822698
-8.5,20,0.823315
-7.6,9,0.823615
-9.5,20,0.824585
-10.3,4,0.824721
4.7,5,0.825362
-7.2,20,0.82599
-18.8,20,0.826591
-2.5,9,0.826878
-10.4,20,0.827465
-8.5,20,0.828045
-11.3,20,0.828621
-22.2,20,0.829187
-12.3,20,0.829745
-8.5,20,0.830296
6.7,4,0.830752
-5.1,18,0.831299
2.8,5,0.831455
3.6,11,0.831781
2.6,8,0.832034
-10.1,20,0.904293
-12.3,20,0.908226
-14.3,20,0.912085
-15.0,14,0.914395
-5.0,2,0.915142
-11.6,8,0.917153
0.6,19,0.920403
-10.2,20,0.925165
1.5,10,0.927574
-10.0,1,0.927638
-15.5,9,0.929415
-17.8,15,0.932674
-7.5,20,0.936535
6.9,2,0.93724
-11.2,4,0.938182
6.9,2,0.938797
-12.3,5,0.939702
-15.5,10,0.941985
5.3,9,0.943501
-9.4,20,0.947489
-5.4,20,0.951392
-14.0,13,0.954027
-17.9,20,0.957993
-6.6,20,0.961544
1.8,17,0.965338
-8.6,20,0.969845
-12.5,7,0.97075
-2.5,20,0.974797
-6.6,20,0.978696
6.9,2,0.979342
-10.4,5,0.980068
6.8,3,0.980731
-10.0,1,0.980786
-10.0,1,0.980835
-10.1,15,0.983548
-10.3,4,0.984937
-10.0,1,0.984993
-15.3,17,0.988838
2.3,10,0.990447
6.1,12,0.992822
-10.0,1,0.992883
-10.0,1,0.993531
-10.0,1,0.993589
-16.8,12,0.995831
-13.5,8,0.997353
-6.2,20,1.00171
-17.5,20,1.006809
-12.4,20,1.010505
-6.3,6,1.011344
4.9,20,1.015143
-12.5,7,1.016616
5.9,16,1.019603
-13.2,20,1.023638
-4.7,20,1.027177
-13.1,20,1.030809
-14.5,9,1.032847
-6.6,20,1.036527
-11.4,20,1.040938
-11.2,4,1.041756
3.7,18,1.045226
1.9,18,1.048191
-10.0,1,1.048923
-19.2,18,1.05221
-13.0,12,1.05479
-7.6,20,1.058659
-5.4,20,1.062979
-1.9,14,1.065958
-3.4,20,1.069702
-11.4,20,1.07415
6.3,8,1.075805
-16.1,20,1.079298
-11.4,20,1.082897
-13.3,20,1.086359
-14.1,20,1.090235
2.9,4,1.090937
-11.4,20,1.095206
-9.9,14,1.097541
-12.3,5,1.098507
-10.0,1,1.099159
-10.1,2,1.099257
-10.0,1,1.09931
6.9,2,1.100005
-10.0,1,1.10006
-10.0,1,1.100109
-10.0,1,1.100723
-10.1,2,1.101361
-2.3,7,1.103113
6.9,2,1.103203
-10.0,1,1.103976
-8.1,20,1.108206
4.8,4,1.10901
1.7,18,1.11222
-11.8,10,1.114544
-9.5,20,1.118628
-8.5,20,1.122816
-13.1,13,1.125716
6.8,3,1.126436
6.0,2,1.126531
6.7,4,1.127265
-13.5,8,1.128708
-14.6,9,1.130428
-14.2,20,1.134181
3.2,13,1.13709
8.3,13,1.13984
-12.4,20,1.143443
-14.1,20,1.147413
-22.1,18,1.150459
-19.2,17,1.154698
-13.4,7,1.155694
-0.4,20,1.159402
-12.0,12,1.161623
7.3,9,1.163739
-10.2,3,1.163867
13.8,19,1.167463
-5.3,20,1.17116
-4.5,12,1.173933
-12.8,10,1.176123
-6.3,20,1.179953
-13.5,9,1.181563
-7.4,20,1.185282
-7.6,20,1.189118
-19.1,16,1.191957
-2.5,20,1.195449
-10.0,1,1.195506
-5.7,20,1.198931
-10.1,2,1.200536
-15.2,6,1.201307
-12.4,7,1.202725
3.3,10,1.204609
-21.7,16,1.207923
-14.4,7,1.209405
-10.2,3,1.210125
10.9,4,1.210843
-7.6,20,1.214422
3.7,17,1.217211
3.5,8,1.219256
-0.4,9,1.220743
-11.2,4,1.221986
-14.6,10,1.224233
-1.6,20,1.228265
-3.0,20,1.324117
11.8,4,1.325111
-10.1,2,1.325211
-11.4,6,1.326863
1.5,10,1.328845
5.0,3,1.334064
-10.4,20,1.344286
1.2,13,1.347029
-11.2,4,1.347926
-5.2,20,1.351963
-10.2,3,1.352825
-10.2,3,1.353596
-14.2,20,1.357825
