#{"t_start": 1753871221.667517, "env_id": "None"}
r,l,t
6.8,3,0.786556
-8.6,20,0.833642
-4.3,20,0.840976
-6.7,20,0.848176
6.7,20,0.855071
-19.7,14,0.859826
-18.0,15,0.864863
-13.1,20,0.871419
-7.1,18,0.876846
-11.3,20,0.88353
-15.3,7,0.886487
-5.2,4,0.887989
-16.0,15,0.892899
5.7,5,0.894543
-7.4,7,0.896491
-1.4,20,0.903167
-11.4,20,0.909794
-8.5,20,0.916427
-8.5,20,0.923039
-6.6,20,0.929634
-6.7,20,0.936233
-8.5,20,0.942877
4.9,3,0.944282
-8.4,20,0.950838
-12.2,20,0.957436
-7.6,20,0.964005
-11.0,2,0.964398
1.1,13,0.969016
-10.0,1,0.969205
-10.2,3,0.969685
-7.6,20,0.976185
-10.1,2,0.977427
0.4,10,0.98066
-9.4,20,0.987262
-9.4,20,0.994899
-10.3,4,0.996526
-10.0,1,0.996717
-13.4,16,1.002713
-11.6,12,1.006413
-8.6,20,1.013112
-10.6,7,1.016447
-10.0,1,1.016658
0.6,20,1.023325
-4.7,20,1.029863
-15.2,20,1.036614
-12.8,10,1.039963
-0.3,20,1.046431
-17.4,19,1.053144
-14.1,20,1.059621
-4.8,20,1.066227
-8.8,12,1.069903
-12.4,6,1.071693
-13.3,20,1.07816
-7.4,8,1.081187
6.8,3,1.082574
-10.0,1,1.082764
-12.1,3,1.083245
-10.0,1,1.084296
-10.0,1,1.084478
7.0,1,1.084651
-5.4,20,1.091188
-1.9,13,1.095831
-6.3,6,1.097624
-8.6,20,1.104155
-10.4,20,1.110697
-12.3,20,1.11775
-7.5,20,1.12491
-8.5,20,1.131579
-5.7,20,1.138165
-12.2,20,1.144941
-10.5,20,1.151636
-2.9,20,1.158213
-10.0,1,1.158443
-15.3,17,1.164834
-2.0,20,1.172217
-12.2,14,1.177308
-11.6,8,1.180307
-10.1,2,1.18064
7.0,1,1.180813
-10.0,1,1.181901
-5.8,10,1.185505
-10.1,2,1.185863
-5.0,2,1.186186
-7.6,20,1.192721
-11.2,4,1.194301
-11.7,9,1.197417
-2.9,20,1.204156
-4.8,20,1.210738
-16.4,14,1.215681
-1.5,20,1.222383
-14.2,20,1.228995
-6.7,20,1.235756
-10.2,3,1.236301
-13.6,10,1.23958
-10.0,1,1.240609
-10.0,1,1.240794
-14.5,8,1.242921
-7.6,20,1.24943
-20.6,14,1.25421
-3.8,20,1.260673
-7.5,20,1.26728
-9.6,20,1.273805
-8.6,20,1.280304
-15.7,12,1.284846
-10.4,5,1.286522
-10.0,1,1.286707
6.6,5,1.288366
-10.0,1,1.288548
-10.1,2,1.288879
-10.0,1,1.289925
-8.6,10,1.293181
-10.1,2,1.293517
-10.0,1,1.293689
-10.0,1,1.293857
-10.0,1,1.294873
-10.0,1,1.295054
-10.0,1,1.295226
-6.7,20,1.301764
-14.5,8,1.304773
-10.0,1,1.304959
-10.0,1,1.305134
-10.0,1,1.305304
7.0,1,1.305472
-6.6,20,1.312084
-11.0,11,1.316495
-7.6,20,1.322964
-6.7,20,1.329466
-2.0,20,1.337431
-5.7,20,1.34455
-10.2,3,1.345132
-6.7,20,1.352185
6.8,3,1.353655
-2.0,20,1.360256
-11.3,14,1.365224
-6.7,20,1.371789
-13.7,19,1.377354
-2.9,20,1.383881
-2.9,20,1.390499
-11.0,11,1.394831
-2.0,20,1.401538
-4.8,20,1.408147
-3.9,20,1.414672
-7.6,20,1.421295
-3.8,20,1.427901
-10.3,4,1.428586
-2.0,20,1.43514
-2.9,20,1.441706
-2.0,20,1.448221
-2.9,20,1.454871
-6.1,13,1.459514
-3.9,20,1.46611
-10.9,10,1.469425
-10.0,1,1.469601
-10.1,2,1.470774
-10.0,1,1.470955
-10.1,2,1.471279
-2.9,20,1.477851
-2.0,20,1.484409
-13.8,11,1.48787
-10.0,1,1.488913
-10.1,2,1.489244
-10.0,1,1.489412
-10.0,1,1.489578
-2.0,20,1.496143
-2.0,20,1.503936
-3.8,20,1.51121
-3.9,20,1.518192
-2.0,20,1.524828
-5.8,20,1.531447
-2.0,20,1.538084
-2.9,20,1.544611
-10.0,1,1.54569
-10.3,4,1.546329
-10.0,1,1.547361
-10.0,1,1.547547
-10.0,1,1.547721
-10.1,2,1.548041
-10.6,7,1.550945
-2.0,20,1.557455
-4.8,20,1.563994
-5.8,20,1.570694
-11.9,20,1.577201
-10.1,2,1.577528
-10.1,2,1.578694
-5.8,20,1.585337
-5.8,20,1.591965
-2.0,20,1.598536
-4.8,20,1.605025
-2.0,20,1.61151
-2.0,20,1.618081
-10.8,9,1.62039
-10.6,7,1.623205
-10.0,1,1.623385
-10.0,1,1.623587
-6.1,13,1.628149
-10.0,1,1.628327
-10.2,3,1.629653
-2.0,20,1.636153
-2.0,20,1.642801
-2.0,20,1.649599
-5.8,20,1.656163
-10.6,7,1.658174
-10.0,1,1.658349
-10.0,1,1.658517
-2.9,20,1.664996
-2.0,20,1.673098
-2.0,20,1.680105
-2.0,20,1.686997
-2.0,20,1.693697
-2.0,20,1.700357
-2.0,20,1.706935
-2.0,20,1.713471
-2.9,20,1.720099
-10.3,4,1.721648
-2.0,20,1.728148
-10.7,8,1.731166
-10.0,1,1.73134
-10.4,5,1.733107
-2.0,20,1.739644
-11.0,11,1.743125
-10.0,1,1.743305
-10.0,1,1.744339
-10.2,3,1.74483
-11.2,13,1.749442
-10.1,2,1.749766
-10.0,1,1.749933
-10.0,1,1.751002
-10.7,8,1.753098
-10.0,1,1.753271
-10.6,7,1.756089
-2.9,20,1.762677
-10.1,2,1.763061
-10.1,2,1.764244
-10.2,3,1.76474
-10.4,5,1.766418
-10.0,1,1.766596
-10.0,1,1.767636
-10.1,2,1.767971
-10.1,2,1.768286
-10.0,1,1.769318
-10.0,1,1.769498
-10.2,3,1.769968
-10.0,1,1.771002
-2.0,20,1.777482
-10.7,8,1.779628
-10.0,1,1.7798
-2.9,20,1.786383
-2.0,20,1.793138
-2.0,20,1.799791
-2.0,20,1.80659
-13.5,17,1.812637
-11.0,11,1.816157
-10.3,4,1.817676
-2.0,20,1.824149
-2.0,20,1.830695
-11.4,15,1.836516
-10.8,9,1.839893
-2.0,20,1.847075
-11.3,14,1.851432
-10.0,1,1.852492
-2.0,20,1.858961
-2.0,20,1.865643
-2.9,20,1.872401
-10.2,3,1.872969
-10.1,2,1.874168
-10.0,1,1.874353
-10.0,1,1.874527
-10.0,1,1.874697
-10.0,1,1.874866
-10.0,1,1.875902
-2.9,20,1.882506
-3.9,20,1.889156
-2.0,20,1.895777
-2.0,20,1.902404
-2.0,20,1.908893
-2.0,20,1.915434
-2.0,20,1.922046
-2.0,20,1.928665
-2.0,20,1.935265
-2.0,20,1.941815
-2.0,20,1.948329
-2.0,20,1.954883
-3.9,20,1.961414
-2.0,20,1.967995
-2.0,20,1.9745
-2.0,20,1.981078
-2.0,20,1.987789
-10.8,9,1.990115
-10.1,2,1.991319
-10.0,1,1.991496
-2.0,20,1.997997
-2.0,20,2.005443
-2.9,20,2.012671
-2.0,20,2.019742
-2.0,20,2.02632
-10.6,7,2.028333
-10.2,3,2.02967
-10.0,1,2.029843
-10.1,2,2.031015
-10.7,8,2.033253
-10.4,5,2.03498
-10.0,1,2.035165
-10.1,2,2.036384
-10.7,8,2.038507
-10.0,1,2.039581
-10.1,2,2.039923
-2.0,20,2.046423
-2.0,20,2.053056
-2.0,20,2.059733
-2.0,20,2.066484
-11.4,15,2.071452
-10.0,1,2.07163
-10.0,1,2.071804
-10.0,1,2.072848
-2.0,20,2.079355
-2.0,20,2.085984
-2.0,20,2.092634
-11.3,14,2.096537
-10.0,1,2.097578
-10.9,10,2.100883
-11.1,12,2.10445
-11.1,12,2.108018
-2.0,20,2.114506
-2.9,20,2.121176
-2.0,20,2.127746
-11.5,16,2.133708
-10.0,1,2.133897
-10.0,1,2.134075
-10.6,7,2.136024
-10.0,1,2.137055
-10.1,2,2.137393
-10.0,1,2.137567
-10.3,4,2.139055
-10.0,1,2.139229
-11.4,15,2.144103
-10.0,1,2.14428
-10.0,1,2.145308
-11.0,11,2.148814
-10.1,2,2.149156
-10.0,1,2.149326
-10.0,1,2.150394
-10.1,2,2.150728
-10.2,3,2.152053
-2.0,20,2.158472
-2.0,20,2.164916
-2.0,20,2.172716
-2.0,20,2.179988
-2.0,20,2.187025
-2.0,20,2.193684
-10.7,8,2.195901
-11.7,18,2.202187
-2.0,20,2.208678
-2.0,20,2.21527
-2.0,20,2.221989
-2.0,20,2.228507
-2.0,20,2.235101
-10.6,7,2.237111
-10.0,1,2.23729
-10.0,1,2.238301
-10.0,1,2.238483
-10.0,1,2.238656
-2.0,20,2.245067
-2.0,20,2.251622
-2.0,20,2.258154
-2.0,20,2.264635
-2.0,20,2.271183
