#{"t_start": 1753900099.014961, "env_id": "None"}
r,l,t
6.5,6,0.785106
-10.4,5,0.78595
-21.8,16,0.788331
-13.4,20,0.791196
-15.2,20,0.794434
-4.7,20,0.797606
-14.4,7,0.798754
2.6,7,0.799778
-4.3,20,0.802641
-10.0,1,0.802862
-11.4,20,0.805743
-8.6,14,0.807801
-11.1,3,0.808251
6.9,2,0.808555
-10.0,1,0.808719
3.1,20,0.811544
6.7,4,0.812194
-12.1,3,0.812639
-8.6,20,0.815945
-11.0,2,0.816356
-10.0,1,0.816534
-6.6,20,0.819579
-10.4,20,0.82266
11.2,10,0.824272
-10.4,20,0.827259
-10.4,20,0.830475
-12.2,20,0.833729
-6.6,20,0.836797
-18.6,12,0.838666
-10.5,20,0.841644
0.2,15,0.843933
-11.2,4,0.844545
7.0,1,0.844713
-11.4,10,0.846204
-18.0,20,0.849217
-13.0,20,0.85225
-4.4,20,0.855257
-11.3,20,0.858307
-1.6,20,0.861333
4.0,15,0.863706
-9.3,7,0.864775
-10.0,1,0.864947
-10.0,1,0.865114
-10.3,4,0.865721
6.9,2,0.866037
-10.2,3,0.866502
-10.3,20,0.869448
10.2,11,0.871146
-10.0,1,0.871318
-10.0,1,0.87149
-9.4,20,0.874506
7.0,1,0.874735
7.0,1,0.874905
-10.5,6,0.87581
-10.1,2,0.876129
-10.0,1,0.876293
-10.1,2,0.876607
-10.0,1,0.876771
-10.1,2,0.877087
-17.3,18,0.879725
-11.3,20,0.882776
-6.2,20,0.885712
-16.9,20,0.888643
-20.8,20,0.891561
-9.5,20,0.894472
-11.2,20,0.897627
-10.0,1,0.897879
-11.8,14,0.900041
5.0,13,0.901998
-7.5,20,0.904954
-14.4,8,0.906221
5.8,4,0.906845
-7.6,9,0.908179
-14.1,20,0.911112
-9.4,20,0.914138
-12.3,20,0.917044
6.8,3,0.917552
-4.7,20,0.920412
-13.1,20,0.923322
-5.7,20,0.926233
-9.5,20,0.92914
-11.4,20,0.932176
-12.6,9,0.933592
6.8,3,0.934062
-19.8,20,0.936998
-19.8,20,0.940007
-5.7,20,0.943023
-8.5,20,0.946057
-12.4,6,0.947068
-11.2,20,0.949917
-2.2,18,0.952553
-15.5,9,0.953879
-17.6,12,0.955588
1.6,8,0.956738
4.4,9,0.958037
-11.1,3,0.958486
-10.3,20,0.961323
-10.7,12,0.96311
7.0,1,0.963275
3.4,9,0.964675
-4.1,17,0.967202
-16.1,20,0.970137
-10.4,20,0.973166
-9.6,20,0.976181
-14.3,20,0.979244
-12.2,4,0.979919
-10.0,1,0.980126
-10.3,20,0.983062
6.8,3,0.983578
4.2,10,0.985029
-22.0,18,0.987599
-4.4,20,0.990462
-7.1,5,0.991263
-5.6,8,0.992422
-5.7,20,0.995269
-12.7,10,0.996812
6.9,10,0.998329
2.6,7,0.999384
1.4,11,1.00102
-21.0,16,1.003405
-19.6,13,1.005325
-13.6,10,1.006802
4.9,15,1.009013
-10.4,20,1.011948
-6.4,20,1.015021
-12.2,20,1.018038
-4.0,18,1.020747
6.7,4,1.021356
-13.1,13,1.02327
-3.8,20,1.026194
-9.7,12,1.028053
4.8,4,1.028654
-10.0,1,1.028825
-10.0,1,1.028991
-10.4,20,1.031979
-21.1,18,1.035026
-11.4,20,1.037971
-8.5,20,1.040997
-3.3,20,1.044027
-4.5,14,1.046089
-14.1,20,1.049048
6.7,4,1.049718
-15.2,20,1.052635
-9.5,20,1.055627
-0.3,19,1.058475
-9.4,20,1.061388
-15.1,20,1.064408
-8.2,20,1.067326
-19.5,12,1.069115
-17.7,13,1.070974
-15.1,5,1.071703
-12.5,7,1.07272
6.8,3,1.073166
6.9,2,1.073479
-10.5,20,1.076313
-15.0,20,1.079228
-9.6,11,1.08094
5.9,3,1.081405
-19.9,20,1.084354
2.3,11,1.086036
-12.3,20,1.088954
-12.3,20,1.092102
1.8,7,1.468145
-7.1,20,1.471247
-0.3,20,1.47438
3.0,15,1.476663
-7.1,20,1.479658
-10.7,8,1.480877
-8.6,20,1.483867
-17.0,20,1.486913
-6.7,20,1.489974
-9.5,20,1.493043
-8.5,14,1.4952
-20.8,20,1.498198
-14.2,20,1.501226
-7.0,20,1.504521
-17.2,17,1.507128
-11.4,20,1.510062
-10.3,20,1.513073
7.0,1,1.513296
-10.0,1,1.513479
-10.1,2,1.513796
-7.5,20,1.51673
5.0,12,1.518562
-2.3,19,1.521347
-10.4,20,1.524283
-11.3,20,1.527246
-6.7,20,1.530236
-13.3,20,1.533226
-12.4,7,1.534328
-1.5,20,1.537252
-11.4,20,1.540257
-12.2,4,1.540927
-10.0,1,1.541096
7.0,1,1.541263
-12.3,5,1.542015
-14.2,5,1.542761
-10.0,1,1.542928
-10.0,1,1.54309
-10.0,1,1.543253
3.9,20,1.546161
0.2,13,1.548132
-12.2,20,1.551031
10.6,16,1.553432
-22.1,20,1.556333
5.7,5,1.55708
-17.1,16,1.5594
-13.2,20,1.562309
-13.1,13,1.56428
-13.2,20,1.56719
2.2,12,1.569011
4.8,4,1.569619
6.9,2,1.56993
-10.2,3,1.570392
-10.0,1,1.570558
-7.5,20,1.573475
6.4,20,1.576439
-16.5,19,1.57925
2.6,7,1.580351
-11.2,20,1.583353
-15.0,15,1.58566
-6.7,20,1.588619
-14.2,20,1.591654
2.7,7,1.592778
-14.2,7,1.593846
7.1,11,1.595487
-8.7,11,1.597151
-1.5,11,1.598826
-8.5,20,1.601802
-10.5,20,1.60484
-15.1,20,1.607898
-14.0,20,1.610945
-7.6,20,1.613986
-3.8,20,1.617007
9.2,9,1.618429
-18.4,20,1.6214
-12.3,20,1.624371
-1.0,17,1.626962
-13.3,20,1.629933
-11.5,7,1.631062
-3.5,20,1.634046
-6.7,20,1.63709
5.9,3,1.637619
-17.1,15,1.639879
-10.4,20,1.642864
-3.0,16,1.645306
-26.8,19,1.648124
-4.7,20,1.651094
-10.1,2,1.65147
-10.1,2,1.651791
-10.0,1,1.651958
-10.0,1,1.652124
-10.1,2,1.652441
10.0,3,1.652902
-11.0,2,1.653217
-10.1,2,1.653533
4.8,14,1.655616
-17.9,14,1.657701
-15.4,8,1.658906
7.0,1,1.659077
-10.1,2,1.65939
-11.2,8,1.660591
-12.0,2,1.660913
-10.1,2,1.661228
-10.1,2,1.661544
-10.0,1,1.661709
-10.0,1,1.661872
-10.0,1,1.662037
-11.4,6,1.662935
-10.1,2,1.663257
-10.0,1,1.663422
-3.5,20,1.666364
-10.0,1,1.666586
-10.0,1,1.666759
-10.0,1,1.666928
-2.2,6,1.667843
-10.0,1,1.668012
-10.0,1,1.66818
-8.4,20,1.67118
-12.3,20,1.674205
-3.4,20,1.67722
6.3,13,1.679222
-10.4,5,1.679988
-10.0,1,1.680166
4.7,5,1.680925
-12.7,9,1.682276
-11.2,4,1.682887
-11.4,20,1.68585
-8.6,20,1.688886
-7.7,20,1.691946
-9.4,20,1.694969
-11.4,6,1.69594
-10.0,1,1.696111
-13.4,7,1.697168
-5.3,20,1.700139
-10.0,1,1.700362
-10.4,20,1.703328
-19.3,19,1.706202
-5.6,20,1.709162
-11.4,20,1.712181
-6.8,18,1.714882
-5.6,20,1.717819
-11.2,20,1.720847
-14.3,20,1.72386
-12.4,6,1.72483
-13.9,12,1.72663
-5.8,20,1.729593
-13.6,10,1.731149
-20.2,20,1.734101
-20.3,20,1.737082
-16.3,7,1.738141
-3.3,20,1.741101
6.5,6,1.742072
-14.2,6,1.74298
-8.6,20,1.74591
0.7,18,1.748649
-10.4,20,1.751605
-7.6,20,1.754628
-8.6,20,1.757657
3.5,8,1.758912
0.6,20,1.761872
-12.4,20,1.764806
0.7,19,1.767674
-0.5,11,1.769295
-14.2,20,1.772241
4.5,19,1.775132
