#{"t_start": 1753906027.9942641, "env_id": "None"}
r,l,t
-15.3,7,0.783569
-14.4,7,0.785821
-7.3,6,0.836425
-14.4,7,0.838041
-14.1,20,0.840846
-12.3,20,0.844129
-0.3,17,0.84712
-9.4,20,0.850284
-10.1,2,0.851751
-10.0,1,0.85242
-10.0,1,0.852994
-10.0,1,0.853551
7.0,1,0.854107
-9.5,20,0.856549
-0.2,16,0.859379
-11.3,20,0.862485
-10.3,20,0.865741
-1.1,17,0.868685
-11.9,20,0.871817
-8.5,20,0.875056
-5.8,17,0.878012
-10.3,4,0.879564
-6.1,20,0.882187
-13.1,20,0.885381
-2.4,11,0.887741
-10.4,20,0.890617
-9.5,20,0.893835
-3.1,20,0.897081
5.5,7,0.899061
-10.5,10,0.900815
-11.7,9,0.90256
6.7,4,0.903777
-10.4,5,0.9049
-12.3,5,0.906055
-14.2,20,0.908662
-18.0,20,0.911873
-3.0,17,0.91368
-13.1,20,0.916814
-10.5,20,0.920044
6.8,3,0.921617
11.0,3,0.922526
-9.5,20,0.925056
3.2,12,0.927479
-22.0,17,0.930104
-16.1,20,0.932179
-10.5,20,0.934256
-10.1,2,0.93571
9.7,6,0.93688
-22.9,17,0.939234
-15.1,20,0.94129
-13.3,20,0.943352
-10.5,6,0.988794
-19.9,16,0.991389
-8.6,20,0.993483
-6.6,20,0.997467
-23.9,18,1.001297
7.0,1,1.001569
-14.1,20,1.004264
-10.3,4,1.005923
-11.1,3,1.006904
-10.0,1,1.007578
-10.2,3,1.008352
6.0,2,1.009109
7.0,1,1.00972
-10.0,1,1.010256
-5.3,5,1.011219
-13.5,8,1.012656
-20.9,20,1.015407
-11.4,20,1.017766
-12.3,20,1.021226
-12.3,19,1.024491
-10.2,16,1.02738
-8.2,20,1.030546
5.0,2,1.032027
0.9,5,1.033194
5.0,2,1.034051
-10.2,20,1.036548
-14.2,20,1.03978
-12.4,20,1.043045
-20.8,16,1.045896
11.9,3,1.046387
7.0,1,1.047152
10.0,3,1.047949
-10.9,20,1.050564
-13.2,20,1.053775
-11.4,20,1.057031
-5.7,20,1.060272
6.6,5,1.062022
-18.0,20,1.064684
-13.2,20,1.066906
-18.8,14,1.069601
5.8,4,1.070122
-7.3,20,1.072809
-12.2,20,1.076056
-16.2,20,1.079354
-11.4,20,1.081486
-13.3,20,1.084898
-16.1,20,1.088181
-13.2,20,1.090277
-1.7,13,1.092857
-6.3,20,1.095818
6.9,2,1.138996
-10.0,1,1.139969
-12.2,4,1.140885
3.0,13,1.142869
1.1,14,1.145353
4.5,7,1.147865
-7.5,20,1.151227
-10.0,1,1.152757
-20.0,20,1.155295
6.8,3,1.155741
-14.3,20,1.158277
-14.3,20,1.161469
-13.6,9,1.163637
-11.4,20,1.166553
-12.5,7,1.168564
-11.2,20,1.171359
0.9,17,1.174317
-10.4,5,1.175991
5.0,2,1.176872
-8.2,20,1.179418
-5.1,3,1.181065
-8.9,19,1.183663
-6.6,20,1.186861
-0.3,8,1.188932
0.5,10,1.190743
-7.6,20,1.19356
6.9,2,1.194997
-8.2,20,1.197552
-7.6,20,1.200884
-18.9,15,1.203697
-11.4,20,1.205783
-18.0,20,1.209079
-12.1,20,1.211198
1.3,11,1.213613
2.8,15,1.216105
-17.9,20,1.219275
6.9,2,1.219618
-15.2,6,1.220814
-18.9,16,1.222433
-6.6,20,1.224495
-11.2,20,1.227783
-15.2,20,1.231048
-13.6,10,1.232174
-10.3,20,1.235101
-9.9,19,1.23825
-1.6,12,1.240697
6.9,2,1.241859
-0.1,4,1.242814
-9.1,20,1.245406
-13.2,20,1.248651
-13.2,20,1.305069
-16.5,10,1.309262
5.9,3,1.309989
7.0,1,1.311027
1.6,8,1.313201
-12.2,20,1.317079
-3.7,13,1.32007
-12.4,6,1.321753
6.2,13,1.32378
-20.5,13,1.326047
-12.3,20,1.328108
-10.4,20,1.331356
-16.9,20,1.334723
-1.4,14,1.336235
-18.9,20,1.33931
-12.0,12,1.340633
-9.5,20,1.343582
-23.5,20,1.346802
-16.1,20,1.348897
-10.4,20,1.351057
-8.6,20,1.354325
-2.5,20,1.357564
1.1,17,1.360652
7.0,1,1.362001
-10.3,4,1.362978
6.9,2,1.363811
-10.1,2,1.36456
-10.1,2,1.365294
-7.2,20,1.367845
-10.5,20,1.371076
-9.0,20,1.374327
-12.3,20,1.377582
-18.0,20,1.380824
-11.3,20,1.382953
-10.5,20,1.386201
1.8,6,1.388052
6.5,10,1.389771
-23.7,15,1.392094
-14.1,20,1.394154
-23.7,16,1.39696
5.7,5,1.397554
-17.0,20,1.400377
-0.8,11,1.401655
0.3,11,1.403774
2.2,12,1.40595
-16.1,20,1.408921
-4.8,16,1.410966
-12.3,15,1.414034
1.6,8,1.416071
-17.0,20,1.418953
-17.1,20,1.42109
-9.9,20,1.423139
-14.2,20,1.426407
12.0,2,1.427877
-14.1,20,1.430451
-18.0,20,1.433711
-14.3,20,1.435814
-13.9,12,1.43828
-18.6,20,1.441208
-17.8,20,1.443302
-12.2,20,1.445384
7.0,1,1.446712
-2.5,20,1.449239
-10.0,14,1.451878
-18.0,20,1.45491
